T_Air,Q_Hou,PPV,PEL,QTWW,Tp,Tmin,f
0.5010249892604275,4150.800297232375,431.289532076349,0.8664149790757569,3.605,40.0,10.0,6.87
0.5010249892604275,4319.890662606109,413.1535944865368,0.7938736887754952,0.105,25.0,25.0,0.2
0.5010249892604275,4488.981027979843,395.0176568967246,0.7213323984752337,0.0,0.0,0.0,0.0
0.5010249892604275,4504.935466983498,396.2457591293894,0.5883270240189389,0.0,0.0,0.0,0.0
0.5010249892604275,4520.889905987153,397.4738613620542,0.45532164956264404,0.0,0.0,0.0,0.0
0.5010249892604275,4536.844344990808,398.701963594719,0.3223162751063492,0.105,25.0,25.0,0.2
0.5010249892604275,4552.7987839944635,399.9300658273838,0.18931090065005438,0.0,0.0,0.0,0.0
0.5010249892604275,4527.407066024948,376.26696579847044,0.39775703851153554,0.0,0.0,0.0,0.0
0.5010249892604275,4502.015348055433,352.60386576955705,0.6062031763730168,0.0,0.0,0.0,0.0
0.5010249892604275,4476.623630085917,328.94076574064366,0.8146493142344979,0.0,0.0,0.0,0.0
0.5010249892604275,4451.231912116402,305.27766571173026,1.0230954520959792,0.105,25.0,25.0,0.2
0.4759737397974061,4417.219691696879,288.7213019939576,1.0531481519797452,0.0,0.0,0.0,0.0
0.45092249033438475,4383.207471277356,272.1649382761849,1.083200851863511,0.0,0.0,0.0,0.0
0.4258712408713634,4349.1952508578315,255.60857455841227,1.113253551747277,0.105,25.0,25.0,0.2
0.400819991408342,4315.183030438308,239.0522108406396,1.143306251631043,0.0,0.0,0.0,0.0
0.4258712408713634,4283.422076521019,234.49524365561717,0.926654087838048,0.0,0.0,0.0,0.0
0.45092249033438475,4251.661122603729,229.93827647059476,0.710001924045053,0.0,0.0,0.0,0.0
0.4759737397974061,4219.900168686439,225.38130928557234,0.4933497602520579,0.0,0.0,0.0,0.0
0.5010249892604275,4188.13921476915,220.82434210054993,0.2766975964590629,0.0,0.0,0.0,0.0
0.5260762387234489,4165.910757001107,216.4479356719426,0.27634033208731335,0.0,0.0,0.0,0.0
