T_Air,Q_Hou_Dem,P_PV,P_EL_Dem,QTWW,TpTWW,fTWW,Win_Speed,HGloHor
275.54999999999995,4359.73869,239.4775463152976,0.328706985,3.705,40.0,10.0,2.9,39
275.95,4229.83306,185.79405711714136,0.837816896,0.105,25.0,3.0,3.4,31
275.95,4065.95665,139.84936090519764,3.883850108,0.105,25.0,3.0,3.9,24
276.34999999999997,3923.31184,114.41994709238602,1.908738931,0.315,55.0,4.0,2.9,20
276.25,3842.8668800000005,31.60489457946065,1.191520485,0.735,55.0,4.0,3.0,7
275.95,3809.65195,0.0,0.736421685,0.0,10.0,0.0,2.3,0
275.84999999999997,3796.05656,0.0,0.440840983,0.0,10.0,0.0,2.3,0
275.65,3518.7177799999995,0.0,0.510130067,0.105,25.0,3.0,2.4,0
275.04999999999995,3547.8294370000003,0.0,0.657947176,3.815,40.0,16.0,2.4,0
275.04999999999995,4389.05371,0.0,1.29008711,0.21,25.0,6.0,2.8,0
274.95,4573.04429,0.0,0.582749211,0.21,25.0,6.0,2.3,0
274.95,4531.25967,0.0,2.494691871,0.0,10.0,0.0,2.4,0
274.84999999999997,4419.055060000001,0.0,1.698381885,0.0,10.0,0.0,2.9,0
274.75,4306.47434,0.0,0.062905381,0.0,10.0,0.0,2.7,0
274.65,4217.70883,0.0,0.082343529,0.0,10.0,0.0,2.7,0
274.54999999999995,4160.29516,0.0,0.207687339,0.0,10.0,0.0,3.4,0
274.25,4141.5062,0.0,0.065482676,0.0,10.0,0.0,3.5,0
273.65,4158.29722,0.0,0.060807725,0.0,10.0,0.0,4.0,0
273.04999999999995,4179.754269999999,0.0,0.060889832,0.0,10.0,0.0,4.2,0
273.15,4185.71103,0.0,1.132849057,0.105,25.0,3.0,4.5,0
273.04999999999995,4179.02982,0.0,2.148846919,0.105,40.0,9.0,3.4,0
273.25,3968.4774600000005,0.0,0.648393581,0.0,10.0,0.0,4.1,0
273.54999999999995,3961.90492,174.5960135991919,1.098368597,0.315,40.0,9.0,4.2,31
273.84999999999997,4356.81374,462.80850875782136,0.754885989,1.715,40.0,15.0,4.8,161
274.34999999999997,3759.26099,998.6481843940292,1.806893362,3.705,40.0,10.0,3.8,222
275.15,3068.7922100000005,1357.9754655432482,0.273713835,0.105,25.0,3.0,4.1,239
275.75,2607.233795,1370.867063911167,0.126796917,0.105,25.0,3.0,4.1,211
275.84999999999997,2502.0746,991.4039170925328,0.140588294,0.315,55.0,4.0,3.9,143
275.25,2725.74543,282.74557742560125,0.118358902,0.735,55.0,4.0,3.1,45
274.54999999999995,3074.51093,0.0,0.388335962,0.0,10.0,0.0,3.1,0
273.15,3412.2401600000003,0.0,0.546017184,0.0,10.0,0.0,3.7,0
272.04999999999995,3831.0584,0.0,0.51181473,0.105,25.0,3.0,3.6,0
271.25,4193.92104,0.0,0.854703357,3.815,40.0,16.0,3.1,0
271.04999999999995,4938.96341,0.0,1.411747709,0.21,25.0,6.0,3.1,0
270.75,5010.55162,0.0,0.482327094,0.21,25.0,6.0,3.0,0
270.75,4897.34753,0.0,0.343229892,0.0,10.0,0.0,3.1,0
270.84999999999997,4740.50821,0.0,0.27589341,0.0,10.0,0.0,3.2,0
271.04999999999995,4597.24685,0.0,0.060915949,0.0,10.0,0.0,2.9,0
271.25,4490.578449999999,0.0,0.063912606,0.0,10.0,0.0,3.7,0
271.25,4426.566610000001,0.0,0.121381075,0.0,10.0,0.0,3.5,0
271.15,4396.03632,0.0,0.125287873,0.0,10.0,0.0,3.4,0
271.04999999999995,4388.645509999999,0.0,0.097241253,0.0,10.0,0.0,3.2,0
270.84999999999997,4408.80141,0.0,0.061437226,0.0,10.0,0.0,2.7,0
270.25,4450.42653,0.0,1.19830344,0.105,25.0,3.0,2.1,0
269.95,4478.08915,0.0,0.317734018,0.105,40.0,9.0,2.4,0
270.04999999999995,4527.297354,0.0,0.776543672,0.0,10.0,0.0,2.9,13
270.65,4612.2911445,79.37664475400021,0.701084434,0.315,40.0,9.0,2.2,88
271.75,4763.62857,409.6062042995305,0.668576396,1.715,40.0,15.0,3.7,184
272.84999999999997,3880.7727099999993,1041.6615259293687,1.953729504,3.705,40.0,10.0,2.9,247
274.45,3017.8005799999996,1426.0366340936962,0.279014339,0.105,25.0,3.0,3.7,253
275.34999999999997,2561.14875,1400.3076562716842,1.523797499,0.105,25.0,3.0,4.2,214
275.45,2492.06172,938.7757320929758,2.172633836,0.315,55.0,4.0,4.7,136
274.95,2756.1782499999995,207.94591056562135,1.66244942,0.735,55.0,4.0,5.7,34
273.95,3105.46001,-0.0,0.331256441,0.0,10.0,0.0,4.3,1
273.15,3409.99537,0.0,0.392434319,0.0,10.0,0.0,4.2,0
272.45,3752.6832149999996,0.0,0.682202513,0.105,25.0,3.0,3.9,0
271.95,4044.6985600000003,0.0,1.571754636,3.815,40.0,16.0,4.1,0
271.45,4814.90977,0.0,0.711533496,0.21,25.0,6.0,2.9,0
271.34999999999997,4920.711630000001,0.0,0.202274065,0.21,25.0,6.0,2.7,0
270.95,4848.5128700000005,0.0,0.134206496,0.0,10.0,0.0,3.9,0
270.84999999999997,4735.98488,0.0,0.092655154,0.0,10.0,0.0,3.7,0
270.54999999999995,4642.3627,0.0,0.061853177,0.0,10.0,0.0,2.9,0
270.45,4581.049649999999,0.0,0.126399871,0.0,10.0,0.0,3.8,0
270.15,4568.472070000001,0.0,0.063783916,0.0,10.0,0.0,2.9,0
269.45,4597.0207900000005,0.0,0.130086247,0.0,10.0,0.0,3.1,0
