Time,groundFloor.PI_livingroom.y,groundFloor.PI_hobby.y,groundFloor.PI_corridor.y,groundFloor.PI_WC.y,groundFloor.PI_kitchen.y,upperFloor.PI_bedroom.y,upperFloor.PI_children1.y,upperFloor.PI_bath.y,upperFloor.PI_children2.y
565200,471.9197,372.0364,115.128914,197.61333,499.7614,425.76968,338.08957,384.6051,379.92572
568800,397.3965,354.78952,112.07277,199.3491,405.89185,401.3616,314.04938,398.19302,304.2311
572400,388.1956,343.13477,110.2986,200.04506,361.71664,378.9313,297.11783,396.61536,264.05615
576000,436.10178,340.8167,109.07872,204.06625,361.8331,371.10095,297.38937,393.3675,257.69806
579600,493.88263,343.14395,110.78304,212.1895,382.6996,374.2457,307.52808,392.28033,267.80988
583200,541.9309,346.3702,115.106544,222.93677,403.28912,382.18878,318.78156,394.19214,280.42563
586800,328.8908,347.82025,119.8106,536.7905,113.82185,76.463844,325.8939,793.9462,55.445213
590400,599.7479,261.55072,126.736946,0,758.4249,266.3287,142.19298,0,563.228
594000,674.78723,380.58536,134.79709,131.15997,817.01666,387.76532,309.29135,211.77443,600.303
597600,695.25476,409.0182,142.08589,222.63821,712.0582,464.54898,392.0833,354.49796,531.5092
601200,700.7281,409.59055,149.32896,264.4967,626.54865,502.29733,416.93192,425.32605,467.15912
604800,706.9563,403.94604,157.15846,281.77032,572.74536,516.33575,416.4928,450.53406,422.98975
608400,714.5743,398.74863,164.18617,289.08182,543.5189,517.07855,408.2219,452.88782,397.90347
612000,723.7921,395.53867,170.22755,293.64786,530.60095,511.85986,400.10413,446.98785,386.7329
615600,730.4214,393.23935,173.88205,295.61435,525.8302,503.77072,393.1827,439.27386,382.67303
619200,735.8493,391.81345,176.325,297.25693,525.68585,495.58936,388.38623,432.9984,382.3343
622800,741.4019,391.1112,178.33731,299.4057,528.21783,488.75537,385.54205,428.92032,383.7713
626400,747.40295,391.01926,180.4067,302.3133,532.2905,483.7919,384.26575,426.8229,385.96912
630000,753.32294,391.11365,182.26193,305.0716,536.7963,480.36,383.57962,425.8155,388.09363
633600,753.3625,389.9841,182.07106,305.7649,536.328,476.23703,380.89636,425.9931,385.49536
637200,597.86835,385.59702,179.89357,699.565,126.14706,237.17508,372.68884,898.11884,64.96565
640800,795.909,348.70105,174.89302,8.688474,826.4431,406.65552,224.29637,0,621.82513
644400,641.1765,421.85388,166.48816,122.27194,807.2703,464.06335,339.52158,190.2044,612.82697
