Time,groundFloor.PI_livingroom.y,groundFloor.PI_hobby.y,groundFloor.PI_corridor.y,groundFloor.PI_WC.y,groundFloor.PI_kitchen.y,upperFloor.PI_bedroom.y,upperFloor.PI_children1.y,upperFloor.PI_bath.y,upperFloor.PI_children2.y
313200,709.9118,405.7142,186.32933,311.94708,563.922,529.8752,400.577,480.57224,418.79733
316800,723.8705,402.12027,186.63313,314.29868,550.1946,519.77026,398.66327,475.2595,405.17737
320400,745.2698,401.4186,187.21904,316.30588,549.6879,515.7215,401.4793,469.23093,405.66306
324000,761.39984,401.02228,187.63582,318.77817,550.72577,513.9542,403.9875,465.83463,408.23764
327600,659.7672,400.20837,188.58795,740.60315,134.98373,312.9653,405.0647,960.08405,75.08534
331200,897.4152,415.28464,190.70682,53.161224,919.10693,497.66434,308.171,0,705.7374
334800,906.49585,481.536,192.29846,173.91724,991.1995,580.14734,434.7476,236.29474,750.93866
338400,889.3881,476.53995,193.71255,271.96207,862.98425,612.5117,477.38126,398.4892,662.9056
342000,869.69073,457.03845,195.1874,317.99185,753.9203,616.32715,478.01334,478.85196,578.00006
345600,852.2527,439.4465,195.93654,330.95917,678.8328,605.59143,463.62375,505.40475,515.1122
349200,838.9078,427.35233,196.45438,331.36115,632.3792,589.68365,448.10394,505.16345,475.34048
352800,830.2593,420.14902,197.26566,329.6575,606.2357,574.0022,436.51587,495.51086,453.6215
356400,823.3742,415.3591,196.95364,326.72806,591.4967,559.65,427.83667,484.15063,442.3133
360000,816.8958,411.6313,195.43279,323.1009,582.79877,546.96094,420.9999,474.19043,436.1684
363600,811.87317,408.85025,193.97557,320.60812,578.11444,536.7149,416.0823,466.8774,432.90228
367200,808.44226,406.7851,192.98627,319.38995,575.9474,528.83167,412.6331,461.89096,431.05948
370800,805.0734,404.706,191.60347,317.6397,574.4266,522.2473,409.28827,457.98727,429.0986
374400,802.0696,402.83072,190.35312,317.62805,570.9949,516.81104,406.37387,456.94702,424.66208
378000,674.52673,400.02374,190.2198,732.32104,133.1067,301.49628,401.89398,946.3911,73.608475
381600,880.21625,396.27737,190.1399,41.50028,893.1662,477.35422,283.89566,0,684.8878
385200,870.1693,464.77682,191.77136,161.29865,958.0672,553.3273,403.9966,228.35223,722.77094
388800,844.3513,463.02188,195.43272,262.48117,831.67755,582.66614,445.88586,386.018,633.26245
392400,819.2995,445.53937,198.75133,311.34576,724.1535,584.7343,446.50897,464.3004,547.8319
396000,800.91626,429.4836,200.52818,326.74414,651.2327,573.79144,433.45013,490.76352,485.6144
399600,794.6011,419.93628,201.93272,330.57004,610.33936,561.00494,423.07233,492.7975,449.79672
403200,799.7686,416.4834,204.48898,334.1546,593.0701,552.1264,420.20645,487.44583,435.56708
406800,808.89136,415.71268,207.31992,337.74768,588.08765,546.5339,420.87204,481.03003,433.22235
410400,816.6346,415.1736,208.93619,340.86752,585.2358,542.08875,421.20993,477.14752,432.5092
414000,730.06604,414.07062,209.96465,782.8372,140.04907,355.67725,420.3284,987.8489,78.47082
417600,956.8347,443.24924,210.9505,85.55135,947.9062,537.8057,335.26083,0,728.0842
421200,958.2941,502.78574,212.60591,200.46063,1024.4258,612.32227,455.9426,240.5508,775.83215
424800,938.405,494.38416,215.62167,297.75937,895.86426,639.5611,494.8956,407.21674,687.31104
428400,918.78394,473.72995,219.21878,344.64096,786.9154,640.9904,494.81006,491.01538,602.2055
432000,902.92584,456.27753,222.04425,359.51703,712.5587,629.83594,481.2917,519.86,539.6188
435600,891.1194,444.64246,223.96294,361.5127,666.7563,614.3107,466.78226,520.7769,500.13672
439200,883.31537,437.81192,225.42746,360.5346,640.90015,599.1287,455.80875,511.4945,478.4821
442800,878.0158,433.77527,226.19359,359.22073,627.0383,585.9035,448.27087,500.7236,467.8079
446400,874.565,431.28998,226.5609,358.47446,620.1765,575.19434,443.3151,491.85043,463.16522
450000,872.9372,429.80698,227.06621,358.8061,617.5846,567.151,440.3098,485.7043,461.67224
453600,873.66,429.24258,228.39656,360.83575,618.0188,561.86725,439.06125,482.15512,462.03525
457200,875.82837,429.10706,230.10553,363.42923,619.9976,558.5819,438.60953,480.19308,463.02432
460800,879.15967,429.34262,232.24988,368.2504,620.53485,556.8391,438.78818,481.4903,461.9103
464400,833.7861,428.62082,234.65988,851.73804,145.8982,410.49176,437.20987,1028.2999,81.54855
468000,1040.2825,494.21002,236.1083,135.5786,999.9748,586.70636,379.76126,7.452573,769.68396
471600,1013.1886,534.28265,238.07738,234.24493,1073.3252,644.4029,477.77496,240.8858,811.5413
475200,972.1844,512.509,241.56493,323.67874,930.483,657.7256,500.49963,409.77533,709.99536
478800,938.7564,484.46628,244.68268,367.46036,810.52313,649.5517,492.34357,495.25885,614.871
482400,914.2006,463.33847,245.43805,379.97244,728.675,632.4403,476.02676,525.0128,545.76483
486000,896.55414,449.65747,243.22342,377.8313,677.6904,613.2885,461.13733,525.7673,502.33304
489600,883.50714,441.04288,238.70831,370.45242,647.34436,595.543,450.24054,515.42596,477.92972
493200,872.8855,435.35297,233.7506,363.00827,629.3925,580.46277,442.68427,503.34192,465.33557
496800,863.8214,431.204,229.21736,358.52808,616.2133,568.1356,437.1154,495.10577,456.61508
500400,766.95703,427.32907,225.29398,799.16034,141.7457,377.69476,432.06937,1005.30096,80.631996
504000,981.1319,456.14697,223.60168,98.49518,955.62024,556.67773,346.58594,0,735.7112
507600,976.1619,514.2819,224.03995,212.47537,1035.2329,628.2025,466.5234,245.90845,787.3544
511200,952.2434,505.0466,226.45168,309.25842,907.7775,653.4593,504.79752,417.05548,700.82306
514800,931.1736,484.19183,230.39923,355.39688,799.8945,654.2424,504.92337,503.41403,616.98334
518400,916.4348,467.196,234.65572,371.8036,727.2104,643.78656,492.61823,533.73285,555.7116
522000,907.3248,456.3007,238.45312,376.21848,683.46783,629.7482,479.65195,535.43024,517.61395
525600,902.3373,450.0547,241.51607,377.19662,659.27216,616.0471,469.85724,526.44836,496.88168
529200,900.9325,446.91443,244.3487,378.56885,647.62213,604.7502,463.89203,516.1691,487.5477
532800,901.704,445.3672,246.79582,380.45612,643.05206,596.0446,460.47223,507.84824,484.31168
536400,902.20984,444.01538,247.89789,381.00674,641.30176,588.82947,457.55338,501.43176,483.01974
540000,900.36414,441.9987,246.96136,378.92407,639.5263,581.8198,453.712,495.97726,481.04016
543600,896.6941,439.58755,244.85907,375.6074,637.3483,575.00433,449.4018,491.3325,478.113
547200,892.43225,437.23886,242.58612,374.18805,632.7898,568.80853,445.39227,489.71182,472.41394
550800,824.5414,433.8289,240.43126,841.52576,145.18642,405.08383,439.72192,1023.81274,81.44842
554400,1024.1813,482.6985,238.62538,127.09445,980.76526,579.004,367.59576,5.902833,753.79095
