Time,groundFloor.PI_livingroom.y,groundFloor.PI_hobby.y,groundFloor.PI_corridor.y,groundFloor.PI_WC.y,groundFloor.PI_kitchen.y,upperFloor.PI_bedroom.y,upperFloor.PI_children1.y,upperFloor.PI_bath.y,upperFloor.PI_children2.y
925200,717.1548,405.08044,188.9605,308.0146,533.3652,499.1228,390.30124,460.24432,390.54
928800,724.33167,403.34988,188.42854,309.38235,529.2191,493.35632,390.24844,455.5711,389.2753
932400,576.34406,401.6265,188.94234,699.3351,132.16672,251.63542,389.8191,920.43915,70.02618
936000,813.9689,375.48972,189.42691,24.480986,865.0119,432.9133,256.0994,0,652.8047
939600,830.21045,458.38,189.91164,159.82892,932.3397,526.0823,396.20026,230.68149,697.3569
943200,817.8287,465.22006,191.20801,264.74954,813.52167,568.8753,451.33188,388.29764,618.8111
946800,802.06256,452.2048,192.52075,308.3144,712.57837,580.163,458.4669,465.77924,541.78955
950400,784.55023,436.27075,191.00471,315.57706,641.0624,572.30963,444.47266,489.49777,482.32877
954000,767.5194,422.89807,187.57156,308.97757,594.2795,555.44543,425.66623,486.259,442.0864
957600,753.09344,413.12604,183.75182,300.39972,565.5096,536.4472,409.4772,473.706,417.57834
961200,740.04895,405.57507,179.09177,291.8175,547.34344,517.92224,396.48492,459.88837,402.685
964800,729.93823,400.0928,175.18063,285.97504,536.5931,502.14136,387.44095,448.74808,394.18393
968400,723.05,396.06287,172.30984,282.55283,530.7527,489.7391,381.32758,440.74655,389.4606
972000,716.68243,392.27792,169.08011,278.7283,526.5704,479.2451,375.93793,434.4788,385.5489
975600,714.9705,390.20886,168.48962,279.1226,526.046,472.5494,373.55078,431.04938,384.11053
979200,717.3113,389.51593,170.42905,284.14487,525.9804,469.26288,373.31537,431.4322,382.2741
982800,524.2935,386.49615,171.80324,643.5261,126.51468,195.18011,368.86,871.2382,66.29026
986400,738.5937,319.19727,170.99152,0,800.60315,370.6693,195.4018,0,601.2759
990000,679.8089,409.34024,167.57985,127.84942,821.53,451.35226,326.052,204.66948,615.30444
993600,495.73895,415.2069,162.80254,210.36365,619.1784,458.04617,365.54614,323.40408,480.5893
997200,384.50626,399.69214,160.20744,242.8185,475.01306,437.14496,359.132,382.79132,365.93808
1000800,386.32697,384.78467,159.78311,253.99232,410.44366,417.72644,343.37402,409.0209,302.59277
1004400,453.97903,376.79623,159.91742,259.6361,398.84933,409.49908,335.86105,418.19452,283.05768
1008000,534.106,375.9653,160.81313,266.2303,417.85168,413.25363,341.01,421.5358,290.37463
1011600,598.17633,377.78604,163.0149,273.30844,443.79852,422.62524,350.73196,422.6593,306.41217
1015200,640.9577,379.41644,165.51805,280.04254,462.06516,432.15286,358.60373,424.06256,321.59637
1018800,472.30585,378.87173,166.77005,641.8041,125.07418,168.63235,361.33893,865.5189,61.885532
1022400,721.6317,322.99042,167.07208,0,810.92584,353.614,201.84557,0,601.84766
1026000,755.6232,420.17084,167.44148,141.37186,871.8021,459.58276,351.89474,218.18982,640.1698
